*ERROR* 	2014/07/12 - 15:18:46: 0
*ERROR* 	2014/07/12 - 15:18:56: 201437
*ERROR* 	2014/07/12 - 15:18:56: 1
*ERROR* 	2014/07/12 - 15:19:04: 20113
*ERROR* 	2014/07/12 - 15:19:04: 0
*ERROR* 	2014/07/12 - 15:19:13: 201563
*ERROR* 	2014/07/12 - 15:19:13: 0
*ERROR* 	2014/07/12 - 15:19:22: 201548
*ERROR* 	2014/07/12 - 15:19:22: 0
*ERROR* 	2014/07/12 - 15:19:31: 203525
*ERROR* 	2014/07/12 - 15:19:31: 0
*ERROR* 	2014/07/12 - 15:19:52: 203525
*ERROR* 	2014/07/12 - 15:19:52: 1
*ERROR* 	2014/07/12 - 15:20:02: 203526
*ERROR* 	2014/07/12 - 15:20:02: 0
*ERROR* 	2014/07/12 - 15:20:11: 201720
*ERROR* 	2014/07/12 - 15:20:11: 1
*ERROR* 	2014/07/12 - 15:20:20: 201498
*ERROR* 	2014/07/12 - 15:20:20: 0
*ERROR* 	2014/07/12 - 15:20:27: 203516
*ERROR* 	2014/07/12 - 15:20:27: 0
*ERROR* 	2014/07/12 - 15:20:35: 203517
*ERROR* 	2014/07/12 - 15:20:35: 0
*ERROR* 	2014/07/12 - 15:20:43: 201428
*ERROR* 	2014/07/12 - 15:20:43: 0
*ERROR* 	2014/07/12 - 15:20:51: 15303
*ERROR* 	2014/07/12 - 15:20:51: 0
*ERROR* 	2014/07/12 - 15:21:00: 10125
*ERROR* 	2014/07/12 - 15:21:00: 0
*ERROR* 	2014/07/12 - 15:21:20: 201545
*ERROR* 	2014/07/12 - 15:21:20: 0
*ERROR* 	2014/07/12 - 15:21:28: 201497
*ERROR* 	2014/07/12 - 15:21:28: 0
*ERROR* 	2014/07/12 - 15:21:36: 20153
*ERROR* 	2014/07/12 - 15:21:36: 1
*ERROR* 	2014/07/12 - 15:21:44: 20151
*ERROR* 	2014/07/12 - 15:21:44: 1
*ERROR* 	2014/07/12 - 15:21:52: 201474
*ERROR* 	2014/07/12 - 15:21:52: 1
*ERROR* 	2014/07/12 - 15:21:59: 201740
*ERROR* 	2014/07/12 - 15:21:59: 0
*ERROR* 	2014/07/12 - 15:22:07: 201700
*ERROR* 	2014/07/12 - 15:22:07: 1
*ERROR* 	2014/07/12 - 15:22:21: 201648
*ERROR* 	2014/07/12 - 15:22:21: 1
*ERROR* 	2014/07/12 - 15:22:28: 201500
*ERROR* 	2014/07/12 - 15:22:28: 1
*ERROR* 	2014/07/12 - 15:22:45: 201651
*ERROR* 	2014/07/12 - 15:22:45: 1
*ERROR* 	2014/07/12 - 15:23:03: 203514
*ERROR* 	2014/07/12 - 15:23:03: 1
*ERROR* 	2014/07/12 - 15:23:26: 20141
*ERROR* 	2014/07/12 - 15:23:26: 1
*ERROR* 	2014/07/12 - 15:23:39: 201368
*ERROR* 	2014/07/12 - 15:23:39: 1
